,origin,destination,transport,value
135,166,153,2,0
136,153,180,0,-0.21930503
137,153,154,0,2.361955809
138,153,124,0,-0.168910162
139,153,184,0,0
140,153,163,1,0.047301942
141,153,111,1,0.000367647
142,153,185,1,0
143,153,140,1,3.50E-05
144,153,152,2,0
145,153,139,2,0
146,153,166,2,0
147,153,167,2,0
148,153,154,2,0
149,167,183,2,-0.089892746
150,167,168,2,7.96E-05
151,167,153,2,0
152,167,155,2,0.402123214
153,168,167,2,-0.134872264
154,168,155,2,0.025252795
155,168,184,2,0.196442961
156,193,194,2,0
157,193,180,2,0.076145274
158,193,181,2,2.55E-05
159,194,193,2,0
160,194,195,2,0
161,194,192,2,0
162,195,182,2,0
163,195,194,2,0
164,195,197,2,-0.116449057
165,196,197,2,0
166,196,183,2,0.324462342
167,196,184,2,0
168,197,184,2,-0.003317916
169,197,196,2,0
170,197,195,2,0
171,155,168,2,0
172,155,156,2,0.293024788
173,155,154,2,0.011031995
174,155,167,2,-0.168963226
175,154,153,0,-0.522928234
176,154,140,0,0.205233003
177,154,156,0,1.453349558
178,154,155,2,-0.102044485
179,154,153,2,0
180,154,140,2,0
181,154,139,2,0
182,139,153,2,0.023643457
183,139,130,2,0
184,139,140,2,0
185,139,154,2,0
186,130,131,2,0.086389374
187,130,124,2,0
188,130,139,2,0
189,131,125,2,-0.104518976
190,131,130,2,-0.194054671
191,131,114,2,-0.00978418
192,125,131,2,0.18590125
193,125,112,2,0
194,125,113,2,5.01E-05
195,111,124,0,0
196,111,100,0,0.183820648
197,111,153,1,9.97E-05
198,111,163,1,0
199,111,112,2,0.05129791
200,111,124,2,0
201,156,157,0,-0.053657816
202,156,154,0,-0.425929717
203,156,140,0,-0.061878856
204,156,184,0,-0.153606692
205,156,169,2,-0.12654018
206,156,155,2,-0.151864136
207,156,157,2,0.373775258
208,156,140,2,-0.018214874
209,169,184,2,-0.40237365
210,169,156,2,0.000506455
211,184,156,0,0
212,184,185,0,3.09E-05
213,184,180,0,0
214,184,153,0,-0.480492795
215,184,168,2,-0.002048139
216,184,196,2,-0.192478131
217,184,197,2,0
218,184,185,2,6.86E-05
219,184,169,2,7.68E-05
220,185,184,0,0.210310606
221,185,157,0,0.450246321
222,185,187,0,0.538042367
223,185,153,1,0
224,185,128,1,7.69E-05
225,185,170,2,-0.002079394
226,185,184,2,0.171214248
227,185,186,2,0.000331249
228,198,186,2,0.329128822
229,198,159,2,5.49E-05
230,198,187,2,0
231,198,199,2,0
232,186,159,2,0.364253325
233,186,185,2,0
234,186,198,2,0
235,170,157,2,0.104421994
236,170,159,2,0
237,170,185,2,-0.175098155
238,157,185,0,-0.009118519
239,157,156,0,0
240,157,133,0,-0.071575767
241,157,142,0,0.336996405
242,157,158,2,1.482517871
243,157,170,2,-0.125936201
244,157,156,2,-0.182895386
245,140,154,0,-0.15649755
246,140,133,0,1.382467787
247,140,156,0,0
248,140,153,1,-0.498889536
249,140,128,1,-0.732533608
250,140,133,2,0.217162109
251,140,154,2,0
252,140,156,2,0
253,140,132,2,0
254,132,114,2,-0.104963093
255,132,140,2,0
256,112,111,2,-0.030987848
257,112,100,2,0
258,112,125,2,0.031230389
259,113,100,2,-0.085557583
260,113,125,2,-0.098440658
261,113,114,2,0
262,100,111,0,-0.140386822
263,100,112,2,-0.120066389
264,100,113,2,0
265,100,101,2,0
266,101,114,2,0
267,101,100,2,0
268,114,131,2,-0.015276988
269,114,115,2,0
270,114,126,2,0.149385836
271,114,132,2,0.127735938
272,114,113,2,0
273,114,101,2,0.074046497
274,126,114,2,0
275,126,115,2,0.289012345
276,126,140,2,0.369876543
277,126,127,2,0.132456789
278,115,126,2,0
279,115,127,2,0
280,115,114,2,0
281,104,116,2,0
282,88,117,2,0.229330977
283,105,108,0,0.153857718
284,105,107,0,0
285,105,108,2,0
286,105,106,2,0
287,106,107,2,-0.132594759
288,106,105,2,0.178018166
289,107,105,0,0
290,107,161,0,0.442290881
291,107,106,2,0
292,107,119,2,0
293,119,108,2,0.382881485
294,119,136,2,0
295,119,107,2,0
296,108,105,0,0
297,108,135,0,0.077717959
298,108,116,0,7.71E-05
299,108,105,2,0
300,108,117,2,0
301,108,119,2,-0.372457043
302,117,129,2,0.074046497
303,117,116,2,0
304,117,108,2,0
305,117,88,2,0
306,116,142,0,7.00E-05
307,116,127,0,-0.024816272
308,116,108,0,0
309,116,117,2,0
310,116,127,2,0
311,116,118,2,0.281017942
312,116,104,2,0
313,127,116,0,0.03206991
314,127,133,0,0
315,127,133,2,0.123070802
316,127,134,2,0
317,127,116,2,0
318,127,115,2,0
319,127,126,2,0
320,133,140,0,0.096268962
321,133,127,0,0
322,133,157,0,-0.139270791
323,133,141,2,0.199347063
324,133,140,2,-0.473500714
325,133,127,2,-0.163631527
326,199,128,0,0
327,199,161,0,0
328,199,188,2,0.235434048
329,199,171,2,0
330,199,198,2,-0.094933514
331,171,173,2,0
332,171,199,2,0.063675425
333,171,175,2,0
334,175,174,2,0.187441891
335,175,162,2,0
336,175,171,2,8.71E-05
337,162,136,2,0
338,162,175,2,0
339,136,162,2,0
340,136,135,2,0.346474737
341,136,119,2,0
342,135,161,0,-0.175445303
343,135,128,0,0
344,135,108,0,0.016153691
345,135,143,2,0.140696288
346,135,129,2,-0.039081451
347,135,161,2,0
348,135,136,2,-0.366747915
349,129,117,2,-0.009861625
350,129,135,2,-0.051526853
351,129,118,2,0.001489604
352,129,143,2,0
353,129,142,2,0
354,118,134,2,0.03676268
355,118,116,2,-0.091415833
356,118,129,2,0
357,118,142,2,0
358,134,127,2,0.031593984
359,134,141,2,0.060967994
360,134,142,2,0
361,134,118,2,0
362,141,133,2,-0.037653304
363,141,158,2,-0.055983133
364,141,134,2,0
365,141,142,2,0.200875049
366,158,157,2,-0.029362123
367,158,142,2,0.227745951
368,158,159,2,0.252883651
369,158,141,2,-0.122544118
370,159,186,2,-0.137584435
371,159,198,2,-0.359692568
372,159,170,2,-0.044343459
373,159,158,2,0.203835113
374,159,172,2,0.29539136
375,187,185,0,0
376,187,128,0,0
377,187,172,2,0
378,187,198,2,
379,187,188,2,0
380,188,199,2,-0.248442873
381,188,187,2,-0.073496838
382,188,173,2,0.252883651
383,188,128,2,0.152883651
384,173,188,2,-0.203717712
385,173,171,2,0
386,173,160,2,0.252883651
387,173,174,2,0
388,174,175,2,-0.162340264
389,174,173,2,0
390,174,161,2,0
391,161,128,0,0.974129864
392,161,135,0,8.84E-05
393,161,199,0,0
394,161,107,0,0
395,161,160,2,0
396,161,136,2,0
397,161,135,2,0
398,161,174,2,0
399,160,128,2,0.175257733
400,160,143,2,0
401,160,173,2,0
402,160,161,2,-0.155743221
403,128,187,0,-0.310525651
404,128,142,0,-0.137371451
405,128,161,0,-0.402361022
406,128,199,0,-0.162691733
407,128,135,0,-0.067519376
408,128,140,1,-0.564675424
409,128,185,1,-0.056927803
410,128,172,2,-0.100596665
411,128,188,2,0
412,128,160,2,0
413,128,143,2,0
414,128,142,2,0
415,143,135,2,0.015879332
416,143,142,2,0
417,143,160,2,0
418,143,128,2,0.178515893
419,142,128,0,0.390638802
420,142,157,0,-0.111092219
421,142,116,0,-0.400925276
422,142,158,2,-0.137913395
423,142,134,2,-0.110848281
424,142,118,2,-0.044310037
425,142,141,2,0
426,142,129,2,0
427,142,143,2,0.248972484
428,142,128,2,0
429,172,159,2,0.035933579
430,172,128,2,0.316414721
431,172,187,2,0
